time,ax,ay,az,atotal
2022-08-11 17:49:34.8110,0.0,1.44,0.38,1.48
2022-08-11 17:49:34.8200,0.11,1.36,0.21,1.38
2022-08-11 17:49:34.8300,-0.02,1.07,0.17,1.08
2022-08-11 17:49:34.8490,-0.12,0.52,0.15,0.55
2022-08-11 17:49:34.8540,-0.15,0.1,0.21,0.27
2022-08-11 17:49:34.8610,-0.12,-0.02,0.35,0.37
2022-08-11 17:49:34.8700,-0.03,0.19,0.54,0.57
2022-08-11 17:49:34.8810,0.16,0.56,0.61,0.84
2022-08-11 17:49:34.8890,0.35,0.87,0.52,1.07
2022-08-11 17:49:34.8990,0.4,0.97,0.35,1.1
2022-08-11 17:49:34.9110,0.41,0.79,0.1,0.89
2022-08-11 17:49:34.9210,0.33,0.61,-0.08,0.69
2022-08-11 17:49:34.9290,0.21,0.38,-0.14,0.45
2022-08-11 17:49:34.9400,0.0,0.24,-0.1,0.26
2022-08-11 17:49:34.9530,-0.28,-0.06,-0.08,0.29
2022-08-11 17:49:34.9590,-0.59,-0.46,-0.02,0.74
2022-08-11 17:49:34.9700,-0.73,-0.82,-0.19,1.11
2022-08-11 17:49:34.9800,-0.71,-1.14,-0.22,1.36
2022-08-11 17:49:34.9900,-0.73,-1.18,0.0,1.38
2022-08-11 17:49:34.9990,-0.25,-1.11,0.0,1.13
2022-08-11 17:49:35.0100,0.29,-0.51,0.19,0.61
2022-08-11 17:49:35.0190,0.53,-0.05,0.38,0.65
2022-08-11 17:49:35.0290,0.69,-0.17,0.14,0.72
2022-08-11 17:49:35.0400,0.45,-0.35,-0.05,0.57
2022-08-11 17:49:35.0520,0.08,-0.62,-0.26,0.67
2022-08-11 17:49:35.0580,0.18,-1.08,-0.62,1.25
2022-08-11 17:49:35.0690,0.28,-0.99,-0.74,1.26
2022-08-11 17:49:35.0790,0.4,-0.44,-0.66,0.88
2022-08-11 17:49:35.0890,0.36,-0.39,-0.93,1.07
2022-08-11 17:49:35.0980,0.15,-0.47,-1.17,1.26
2022-08-11 17:49:35.1090,-0.27,-0.56,-1.3,1.44
2022-08-11 17:49:35.1190,-0.34,-0.66,-1.54,1.7
2022-08-11 17:49:35.1290,-0.29,-0.37,-1.64,1.7
2022-08-11 17:49:35.1380,-0.08,-0.26,-1.83,1.85
2022-08-11 17:49:35.1520,-0.25,0.09,-1.81,1.82
2022-08-11 17:49:35.1580,-0.3,0.61,-1.82,1.94
2022-08-11 17:49:35.1690,0.12,1.06,-1.63,1.94
2022-08-11 17:49:35.1770,0.7,0.88,-1.35,1.75
2022-08-11 17:49:35.1880,0.73,0.58,-0.57,1.09
2022-08-11 17:49:35.1980,0.54,0.56,0.13,0.78
2022-08-11 17:49:35.2070,0.3,0.24,0.64,0.74
2022-08-11 17:49:35.2180,-0.09,0.03,1.29,1.29
2022-08-11 17:49:35.2270,0.1,-0.53,1.71,1.79
2022-08-11 17:49:35.2380,0.27,-0.71,2.27,2.39
2022-08-11 17:49:35.2520,0.68,-0.3,2.32,2.43
2022-08-11 17:49:35.2580,1.17,0.45,1.82,2.2
2022-08-11 17:49:35.2670,1.43,0.35,1.41,2.03
2022-08-11 17:49:35.2780,1.12,-0.34,1.64,2.01
2022-08-11 17:49:35.2870,0.93,-1.05,1.6,2.12
2022-08-11 17:49:35.2970,0.94,-1.33,1.33,2.1
2022-08-11 17:49:35.3070,0.76,-0.51,1.1,1.43
2022-08-11 17:49:35.3180,0.5,0.52,0.9,1.15
2022-08-11 17:49:35.3270,-0.24,1.51,0.83,1.73
2022-08-11 17:49:35.3370,-0.76,1.5,0.43,1.73
2022-08-11 17:49:35.3550,-1.2,0.77,0.04,1.42
2022-08-11 17:49:35.3600,-1.47,0.5,-0.43,1.61
2022-08-11 17:49:35.3680,-0.97,0.15,-1.11,1.48
2022-08-11 17:49:35.3760,0.22,-0.22,-1.1,1.14
2022-08-11 17:49:35.3860,1.03,-0.59,-0.38,1.24
2022-08-11 17:49:35.3970,0.9,-0.39,-0.08,0.98
2022-08-11 17:49:35.4060,0.34,-0.14,0.5,0.62
2022-08-11 17:49:35.4180,-0.06,-0.48,0.94,1.05
2022-08-11 17:49:35.4270,0.22,-1.05,1.27,1.66
2022-08-11 17:49:35.4360,0.63,-1.82,1.04,2.18
2022-08-11 17:49:35.4550,0.6,-1.56,0.17,1.68
2022-08-11 17:49:35.4600,0.51,0.12,-0.27,0.58
2022-08-11 17:49:35.4660,0.75,1.42,-0.02,1.6
2022-08-11 17:49:35.4760,0.29,2.13,0.72,2.26
2022-08-11 17:49:35.4860,-0.56,1.72,2.05,2.73
2022-08-11 17:49:35.4960,-0.95,2.23,2.05,3.17
2022-08-11 17:49:35.5050,0.52,3.04,-5.59,6.38
2022-08-11 17:49:35.5150,3.1,-1.9,-3.44,5.0
2022-08-11 17:49:35.5260,1.11,-0.96,0.72,1.63
2022-08-11 17:49:35.5360,0.19,0.21,2.17,2.18
2022-08-11 17:49:35.5540,0.49,-0.65,1.96,2.12
2022-08-11 17:49:35.5580,-0.31,-1.04,0.69,1.28
2022-08-11 17:49:35.5640,-0.22,-0.99,0.71,1.23
2022-08-11 17:49:35.5760,0.28,-1.11,0.63,1.3
