time,ax,ay,az,atotal
2022-08-11 17:53:56.9140,0.11,-1.4,0.99,1.71
2022-08-11 17:53:56.9350,0.1,-1.55,1.14,1.92
2022-08-11 17:53:56.9380,0.19,-1.65,1.16,2.02
2022-08-11 17:53:56.9430,0.2,-1.71,1.22,2.11
2022-08-11 17:53:56.9540,0.17,-1.49,1.49,2.11
2022-08-11 17:53:56.9630,-0.24,-0.82,1.63,1.84
2022-08-11 17:53:56.9750,-0.12,-1.39,1.5,2.04
2022-08-11 17:53:56.9850,0.1,-2.09,1.76,2.73
2022-08-11 17:53:56.9930,0.49,-1.84,1.71,2.55
2022-08-11 17:53:57.0030,0.68,-0.61,0.94,1.31
2022-08-11 17:53:57.0130,1.17,0.32,-0.03,1.21
2022-08-11 17:53:57.0370,1.17,0.37,-0.22,1.24
2022-08-11 17:53:57.0400,0.93,0.35,0.0,0.99
2022-08-11 17:53:57.0430,0.71,0.41,0.2,0.84
2022-08-11 17:53:57.0540,0.21,1.6,-0.24,1.63
2022-08-11 17:53:57.0630,0.54,2.8,-0.97,3.01
2022-08-11 17:53:57.0750,0.75,3.85,-2.13,4.46
2022-08-11 17:53:57.0830,1.5,3.3,-2.52,4.41
2022-08-11 17:53:57.0930,2.28,1.92,-2.15,3.67
2022-08-11 17:53:57.1050,2.64,0.93,-1.36,3.11
2022-08-11 17:53:57.1130,2.34,0.53,-0.47,2.44
2022-08-11 17:53:57.1230,1.06,0.52,0.26,1.2
2022-08-11 17:53:57.1410,-0.75,0.25,1.19,1.42
2022-08-11 17:53:57.1450,-2.15,-0.61,1.9,2.93
2022-08-11 17:53:57.1520,-1.84,-1.4,1.98,3.04
2022-08-11 17:53:57.1620,-0.92,-1.76,1.42,2.44
2022-08-11 17:53:57.1730,1.7,-1.56,1.05,2.53
2022-08-11 17:53:57.1820,2.01,0.29,1.17,2.34
2022-08-11 17:53:57.1920,0.64,3.39,1.06,3.6
2022-08-11 17:53:57.2040,2.16,4.34,-0.59,4.88
2022-08-11 17:53:57.2120,4.27,3.78,-0.99,5.78
2022-08-11 17:53:57.2240,2.79,1.28,-1.54,3.43
2022-08-11 17:53:57.2390,-2.06,-1.77,-2.53,3.71
2022-08-11 17:53:57.2430,-4.64,-3.52,-2.93,6.51
2022-08-11 17:53:57.2520,-2.68,-1.88,-0.29,3.28
2022-08-11 17:53:57.2620,-0.7,-0.59,0.98,1.34
2022-08-11 17:53:57.2730,-0.5,-0.03,1.48,1.56
2022-08-11 17:53:57.2810,-0.78,0.74,1.49,1.83
2022-08-11 17:53:57.2920,-0.26,-0.5,1.12,1.25
2022-08-11 17:53:57.3010,0.51,-1.03,0.0,1.14
2022-08-11 17:53:57.3110,0.61,-0.01,-0.43,0.74
2022-08-11 17:53:57.3210,0.03,1.03,0.07,1.03
2022-08-11 17:53:57.3360,-0.42,1.33,-0.08,1.39
2022-08-11 17:53:57.3410,0.08,1.05,-0.75,1.29
2022-08-11 17:53:57.3510,1.03,0.38,-1.13,1.57
2022-08-11 17:53:57.3610,1.8,-0.64,-1.09,2.19
2022-08-11 17:53:57.3700,1.76,-0.66,2.44,3.08
2022-08-11 17:53:57.3820,0.91,-2.25,6.38,6.82
2022-08-11 17:53:57.3920,2.05,-1.71,1.9,3.27
2022-08-11 17:53:57.4000,1.71,-0.43,-0.38,1.8
2022-08-11 17:53:57.4100,1.09,-0.19,-1.9,2.19
2022-08-11 17:53:57.4200,0.13,0.65,-0.63,0.91
2022-08-11 17:53:57.4360,0.23,1.26,0.65,1.43
2022-08-11 17:53:57.4400,0.76,1.02,0.51,1.37
2022-08-11 17:53:57.4510,0.16,0.97,0.01,0.98
2022-08-11 17:53:57.4600,-0.01,0.7,-0.98,1.2
